epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,0.6996188669204711,0.6787991008758545,0.52285,0.5614,0.5228269513488175,0.5610800273399308
2,0.6669623237609863,0.6661878698348999,0.59175,0.5958,0.5892413232153351,0.589672647294424
3,0.6699770086288452,0.6882981159210205,0.57895,0.5378,0.5785278018159545,0.4795296136839524
4,0.6785636108398437,0.6608970096588135,0.5681,0.6036,0.5680053758975365,0.5906896305616647
5,0.662162343120575,0.6489760838508606,0.6056,0.6198,0.604767319837106,0.616764390739044
6,0.6244510913848877,0.6166790574073792,0.6635,0.6726,0.6634670164022776,0.6724206306405135
